mid,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
38,28,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi,transformers: age of extinction
39,7,Tim Holmes,Mila Kunis,James Franco,Adventure Family Fantasy,oz the great and powerful
40,18,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2
41,29,Jeff Bridges,Olivia Wilde,James Frain,Action Adventure Sci-Fi,tron: legacy
42,30,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport,cars 2
43,31,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi,green lantern
44,32,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy,toy story 3
45,33,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi,terminator salvation
46,34,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller,furious 7
47,13,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller,world war z
48,12,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past
49,35,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi,star trek into darkness
50,12,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy,jack the giant slayer
51,36,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Drama Romance,the great gatsby
52,37,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance,prince of persia: the sands of time
53,38,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi,pacific rim
54,28,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi,transformers: dark of the moon
55,39,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull
56,40,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy,the good dinosaur
57,41,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy,brave
58,42,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller,star trek beyond
59,6,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi,wall·e
60,26,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller,rush hour 3
61,43,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi,2012
62,44,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy,a christmas carol
63,45,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi,jupiter ascending
64,10,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,the legend of tarzan
65,14,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe"
66,12,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi,x-men: apocalypse
67,4,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller,the dark knight
68,46,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family,up
69,47,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens
70,48,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi,iron man
71,49,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery,hugo
72,16,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western,wild wild west
73,50,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor
74,51,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi,suicide squad
75,52,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy,evan almighty
76,53,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi,edge of tomorrow
77,54,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller,waterworld
78,55,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra
79,46,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy,inside out
80,48,Scarlett Johansson,Bill Murray,Garry Shandling,Adventure Drama Family Fantasy,the jungle book
81,48,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi,iron man 2
82,56,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy,snow white and the huntsman
83,57,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance,maleficent
84,58,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi,dawn of the planet of the apes
85,59,Tamsin Egerton,Alice Englert,Bipasha Basu,Action Adventure Romance Sci-Fi,the lovers
86,60,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy,47 ronin
87,21,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi,captain america: the winter soldier
88,61,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy,shrek forever after
89,62,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi,tomorrowland
90,63,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6
91,64,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph
92,44,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy,the polar express
93,43,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi,independence day: resurgence
94,65,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy,how to train your dragon
95,66,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi,terminator 3: rise of the machines
96,67,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi,guardians of the galaxy
97,4,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi,interstellar
98,4,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,inception
99,68,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Action Adventure Drama Horror Sci-Fi,godzilla resurgence
100,17,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: an unexpected journey
101,50,Paul Walker,Vin Diesel,Jordana Brewster,Action Crime Thriller,the fast and the furious
102,69,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance,the curious case of benjamin button
103,70,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi,x-men: first class
104,71,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi,the hunger games: mockingjay - part 2
105,72,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy,the sorcerer's apprentice
106,73,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller,poseidon
107,74,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,alice through the looking glass
108,75,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy,shrek the third
109,76,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy,warcraft
110,77,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi,terminator genisys
111,78,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader
112,28,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War,pearl harbor
113,28,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi,transformers
114,79,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War,alexander
115,10,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix
116,37,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the goblet of fire
117,22,Will Smith,Charlize Theron,Eddie Marsan,Action Drama,hancock
118,71,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi,i am legend
119,25,Johnny Depp,Christopher Lee,David Kelly,Adventure Comedy Family Fantasy,charlie and the chocolate factory
120,62,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation Comedy Family Fantasy,ratatouille
121,4,Christian Bale,Liam Neeson,Morgan Freeman,Action Adventure,batman begins
122,80,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action Adventure Animation Comedy Family,madagascar: escape 2 africa
123,81,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian
124,82,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine
125,45,Essie Davis,Collin Chou,Nona Gaye,Action Sci-Fi,the matrix revolutions
126,83,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure Animation Comedy Family Fantasy Musical,frozen
127,45,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action Sci-Fi,the matrix reloaded
128,77,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,thor: the dark world
129,84,Tom Hardy,Charlize Theron,Zoë Kravitz,Action Adventure Sci-Fi Thriller,mad max: fury road
130,85,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery Thriller,angels & demons
131,86,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,thor
132,87,Chloë Grace Moretz,Diedrich Bader,James Lipton,Adventure Animation Comedy Drama Family,bolt
133,88,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force
134,89,Liam Neeson,Edgar Ramírez,Lily James,Action Adventure Fantasy,wrath of the titans
135,25,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Comedy Fantasy Horror,dark shadows
136,90,Tom Cruise,Jeremy Renner,Sean Harris,Action Adventure Thriller,mission: impossible - rogue nation
137,91,Anthony Hopkins,Simon Merrells,Art Malik,Drama Fantasy Horror Thriller,the wolfman
138,10,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,the legend of tarzan
139,92,Matthew Broderick,Oprah Winfrey,Rip Torn,Adventure Animation Comedy Family,bee movie
140,93,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Action Adventure Animation Comedy Family,kung fu panda 2
141,94,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,Action Adventure Family Fantasy,the last airbender
142,35,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Action Adventure Thriller,mission: impossible iii
143,43,Channing Tatum,Jake Weber,Matt Craven,Action Drama Thriller,white house down
144,95,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Action Adventure Animation Comedy Family Sci-Fi,mars needs moms
145,96,Hugh Jackman,Kate Winslet,David Suchet,Adventure Animation Comedy Family,flushed away
146,97,Hugh Jackman,Cara Delevingne,Nonso Anozie,Adventure Family Fantasy,pan
147,98,Ty Burrell,Zach Callison,Karan Brar,Adventure Animation Comedy Family Sci-Fi,mr. peabody & sherman
148,73,Brad Pitt,Orlando Bloom,Julian Glover,Adventure,troy
149,80,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Adventure Animation Comedy Family,madagascar 3: europe's most wanted
150,99,Toby Stephens,Colin Salmon,Rick Yune,Action Adventure Thriller,die another day
151,100,Ed Begley Jr.,Kate McKinnon,Zach Woods,Action Comedy Fantasy Sci-Fi,ghostbusters
152,28,Bruce Willis,Steve Buscemi,Will Patton,Action Adventure Sci-Fi Thriller,armageddon
153,16,Will Smith,Rosario Dawson,Rip Torn,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,men in black ii
154,44,Robin Wright,Anthony Hopkins,Sebastian Roché,Action Adventure Animation Fantasy,beowulf
155,101,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,Action Adventure Animation Comedy Family,kung fu panda 3
156,62,Tom Cruise,Jeremy Renner,Michael Nyqvist,Action Adventure Thriller,mission: impossible - ghost protocol
157,102,Hugh Jackman,Kamil McFadden,Khamani Griffin,Adventure Animation Family Fantasy,rise of the guardians
158,103,John Michael Higgins,Richard Burgi,David Herman,Comedy Crime,fun with dick and jane
159,104,Tom Cruise,Tony Goldwyn,Chad Lindberg,Action Drama History War,the last samurai
160,19,Christian Bale,María Valverde,Ben Mendelsohn,Action Adventure Drama,exodus: gods and kings
161,35,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,Action Adventure Sci-Fi,star trek
162,7,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,spider-man
163,65,Gerard Butler,Djimon Hounsou,America Ferrera,Action Adventure Animation Comedy Family Fantasy,how to train your dragon 2
164,105,Gerard Butler,Elodie Yung,Bryan Brown,Action Adventure Fantasy,gods of egypt
165,50,Sam Shepard,Joe Morton,Richard Roxburgh,Action Adventure Sci-Fi Thriller,stealth
166,11,Matt Frewer,Billy Crudup,Stephen McHattie,Action Drama Mystery Sci-Fi,watchmen
167,106,Jet Li,Rene Russo,Darlene Love,Action Crime Thriller,lethal weapon 4
168,107,Kevin Rankin,Regi Davis,Celia Weston,Action Sci-Fi,hulk
169,108,Channing Tatum,Dwayne Johnson,Elodie Yung,Action Adventure Sci-Fi Thriller,g.i. joe: retaliation
170,109,Matthew McConaughey,Rainn Wilson,Delroy Lindo,Action Adventure Comedy Thriller,sahara
171,110,Steve Buscemi,Ming-Na Wen,Jean Simmons,Action Adventure Animation Fantasy Romance Sci-Fi,final fantasy: the spirits within
172,91,Chris Evans,Dominic Cooper,Hayley Atwell,Action Adventure Sci-Fi,captain america: the first avenger
173,78,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,Action Adventure Thriller,the world is not enough
174,111,James D'Arcy,Lee Ingleby,David Threlfall,Action Adventure Drama History War,master and commander: the far side of the world
175,112,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure Drama Fantasy Romance,the twilight saga: breaking dawn - part 2
176,84,Robin Williams,Brad Pitt,Common,Animation Comedy Family Musical,happy feet 2
177,113,Ty Burrell,Peter Mensah,William Hurt,Action Adventure Sci-Fi,the incredible hulk
178,114,Don Johnson,Philip Michael Thomas,John Diehl,Action Crime Drama Mystery Thriller,miami vice 
179,39,Mark Rylance,Penelope Wilton,Rafe Spall,Adventure Family Fantasy,the bfg
180,115,Leonardo DiCaprio,Tom Hardy,Lukas Haas,Adventure Drama Thriller Western,the revenant
181,116,Ryan Reynolds,Snoop Dogg,Ben Schwartz,Adventure Animation Comedy Family Sport,turbo
182,2,Johnny Depp,Ray Winstone,Stephen Root,Adventure Animation Comedy Family Western,rango
183,80,Benedict Cumberbatch,Annet Mahendru,Andy Richter,Adventure Animation Comedy Family,penguins of madagascar
184,117,Matt Damon,Edgar Ramírez,Albert Finney,Action Mystery Thriller,the bourne ultimatum
185,118,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,Action Adventure Animation Comedy Family,kung fu panda
186,119,Judy Greer,Hayley Atwell,T.I.,Action Adventure Comedy Sci-Fi,ant-man
187,71,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,Adventure Sci-Fi Thriller,the hunger games: catching fire
188,112,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure Drama Fantasy Romance,the twilight saga: breaking dawn - part 2
189,120,Jim Parsons,Matt Jones,April Winchell,Adventure Animation Comedy Family Fantasy Sci-Fi,home
190,39,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,Adventure Sci-Fi Thriller,war of the worlds
191,28,Will Smith,Henry Rollins,Jordi Mollà,Action Comedy Crime Thriller,bad boys ii
192,75,Salma Hayek,Constance Marie,Amy Sedaris,Action Adventure Animation Comedy Family Fantasy,puss in boots
193,121,Angelina Jolie Pitt,Andre Braugher,August Diehl,Action Crime Mystery Thriller,salt
194,122,Anthony Hopkins,Emma Watson,Logan Lerman,Action Adventure Drama,noah
195,39,Toby Jones,Mackenzie Crook,Tony Curran,Action Adventure Family Mystery,the adventures of tintin
196,123,Daniel Radcliffe,Gary Oldman,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the prisoner of azkaban
197,36,Essie Davis,Bryan Brown,Eddie Baroo,Adventure Drama Romance War,australia
198,94,Will Smith,Zoë Kravitz,Glenn Morshower,Action Adventure Sci-Fi,after earth
199,124,Alfre Woodard,D.B. Sweeney,Della Reese,Adventure Animation Family Thriller,dinosaur
200,125,Rupert Grint,Dave Legeno,Ralph Ineson,Action Fantasy,harry potter and the deathly hallows: part 2
201,81,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy,night at the museum: secret of the tomb
202,126,J.K. Simmons,Brad Pitt,Will Ferrell,Action Animation Comedy Family Sci-Fi,megamind
203,0,Daniel Radcliffe,Fiona Shaw,Verne Troyer,Adventure Family Fantasy,None
204,128,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,Action Comedy Fantasy,r.i.p.d.
205,68,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Action Adventure Drama Horror Sci-Fi,godzilla resurgence
206,2,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: the curse of the black pearl
207,125,Rupert Grint,Toby Jones,Alfred Enoch,Fantasy,harry potter and the deathly hallows: part 1
208,71,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi Thriller,the hunger games: mockingjay - part 1
209,85,Tom Hanks,Seth Gabel,Jürgen Prochnow,Mystery Thriller,the da vinci code
210,129,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,Adventure Animation Comedy Family Musical,rio 2
211,12,Hugh Jackman,Bruce Davison,Aaron Stanford,Action Adventure Fantasy Sci-Fi Thriller,x-men 2
212,42,Paul Walker,Vin Diesel,Dwayne Johnson,Action Crime Thriller,fast five
213,130,Robert Downey Jr.,Eddie Marsan,Paul Anderson,Action Adventure Crime Mystery Thriller,sherlock holmes: a game of shadows
214,113,Liam Neeson,Jason Flemyng,Alexa Davalos,Action Adventure Fantasy,clash of the titans
215,131,Ronny Cox,Rachel Ticotin,Marshall Bell,Action Sci-Fi,total recall
216,132,Tony Curran,Vladimir Kulich,Clive Russell,Action Adventure History,the 13th warrior
217,133,Jeremy Renner,Scott Glenn,Stacy Keach,Action Adventure Thriller,the bourne legacy
218,134,Michael Gough,Vivica A. Fox,John Glover,Action,batman & robin
219,85,Clint Howard,T.J. Thyne,Molly Shannon,Comedy Family Fantasy,how the grinch stole christmas
220,43,Jake Gyllenhaal,Dennis Quaid,Sela Ward,Action Adventure Sci-Fi Thriller,the day after tomorrow
221,135,Tom Cruise,Dougray Scott,Richard Roxburgh,Action Adventure Thriller,mission: impossible ii
222,73,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,Action Adventure Drama Thriller,the perfect storm
223,136,Chris Evans,Ioan Gruffudd,Andre Braugher,Action Adventure Sci-Fi Thriller,fantastic 4: rise of the silver surfer
224,107,Suraj Sharma,Rafe Spall,Tabu,Adventure Drama Fantasy,life of pi
225,137,Nicolas Cage,Matt Long,Peter Fonda,Action Fantasy Thriller,ghost rider
226,117,Matt Damon,Riz Ahmed,Ato Essandoh,Action Thriller,jason bourne
227,33,Demi Moore,Bernie Mac,Justin Theroux,Action Adventure Comedy Crime,charlie's angels: full throttle
228,19,Michael Fassbender,Charlize Theron,Sean Harris,Adventure Mystery Sci-Fi,prometheus
229,98,Nathan Lane,Brad Garrett,Melanie Griffith,Adventure Animation Comedy Family Fantasy,stuart little 2
230,138,Matt Damon,Sharlto Copley,Alice Braga,Action Drama Sci-Fi Thriller,elysium
231,139,Vin Diesel,Alexa Davalos,Christina Cox,Action Adventure Sci-Fi Thriller,the chronicles of riddick
232,140,Gary Oldman,Abbie Cornish,Jennifer Ehle,Action Crime Sci-Fi Thriller,robocop
233,45,Scott Porter,Kick Gurry,Nicholas Elia,Action Family Sport,speed racer
234,141,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,Comedy Drama Romance,how do you know
235,142,Tom Cruise,Marc Blucas,Jordi Mollà,Action Comedy Romance,knight and day
236,29,Morgan Freeman,Tom Cruise,Zoë Bell,Action Adventure Mystery Sci-Fi,oblivion
237,143,Natalie Portman,Christopher Lee,Hayden Christensen,Action Adventure Fantasy Sci-Fi,star wars: episode iii - revenge of the sith
238,143,Natalie Portman,Christopher Lee,Hayden Christensen,Action Adventure Fantasy Sci-Fi,star wars: episode ii - attack of the clones
239,46,Steve Buscemi,John Ratzenberger,James Coburn,Adventure Animation Comedy Family Fantasy,"monsters, inc."
240,142,Hugh Jackman,Tao Okamoto,Rila Fukushima,Action Adventure Sci-Fi Thriller,the wolverine
241,143,Natalie Portman,Liam Neeson,Ian McDiarmid,Action Adventure Fantasy Sci-Fi,star wars: episode i - the phantom menace
242,144,Ryan Reynolds,Emma Stone,Nicolas Cage,Adventure Animation Comedy Family Fantasy,the croods
243,145,Alain Delon,Santiago Segura,Vanessa Hessler,Adventure Comedy Family Fantasy,asterix at the olympic games
244,135,Nicolas Cage,Roger Willie,Noah Emmerich,Action Drama War,windtalkers
245,146,Chris Hemsworth,Sam Claflin,Charlize Theron,Action Adventure Drama Fantasy,the huntsman: winter's war
246,89,Noel Fisher,Danny Woodburn,Jeremy Howard,Action Adventure Comedy Sci-Fi,teenage mutant ninja turtles
247,123,Phaldut Sharma,Basher Savage,Amy Warren,Adventure Drama Sci-Fi Thriller,gravity
248,147,Jamie Renée Smith,Grant Heslov,Tzi Ma,Action Adventure Thriller,dante's peak
249,148,Stephen Amell,Noel Fisher,Brad Garrett,Action Adventure Comedy Sci-Fi,teenage mutant ninja turtles: out of the shadows
250,149,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,Action Adventure Sci-Fi,fantastic four
251,81,Robin Williams,Rami Malek,Steve Coogan,Action Adventure Comedy Family Fantasy,night at the museum
252,150,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,Action Adventure Drama Thriller,san andreas
253,151,Vincent Schiavelli,Colin Salmon,Joe Don Baker,Action Adventure Thriller,tomorrow never dies
254,43,Heath Ledger,Adam Baldwin,Tom Wilkinson,Action Drama History War,the patriot
255,152,Brad Pitt,Julia Roberts,Mini Anden,Crime Thriller,ocean's twelve
256,53,Brad Pitt,Angelina Jolie Pitt,Stephanie March,Action Comedy Crime Romance Thriller,mr. & mrs. smith
257,128,Kate Winslet,Theo James,Mekhi Phifer,Adventure Sci-Fi Thriller,insurgent
258,49,Leonardo DiCaprio,Adam Scott,Frances Conroy,Biography Drama,the aviator
259,47,James Corden,Catherine Tate,Olly Alexander,Adventure Comedy Family Fantasy,gulliver's travels
260,153,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,Action Comedy Crime Sci-Fi Thriller,the green hornet
261,114,George Peppard,Dirk Benedict,Dwight Schultz,Action Adventure Crime,the a-team 
262,154,Eva Green,Sullivan Stapleton,Peter Mensah,Action Drama Fantasy War,300: rise of an empire
263,155,Mahadeo Shivraj,Tim Gunn,Madison McKinley,Adventure Animation Comedy Family Fantasy,the smurfs
264,156,Steve Buscemi,Roseanne Barr,G.W. Bailey,Animation Comedy Family Music Western,home on the range
