did,director_name
264,Andrés Couturier
265,Cody Cameron
266,John Singleton
267,Oliver Hirschbiegel
268,Des McAnuff
269,Yarrow Cheney
270,Stephen Norrington
271,Pierre Coffin
272,David Kellogg
273,Mike Nichols
274,F. Gary Gray
275,Antoine Fuqua
276,Robert Luketic
277,Gil Kenan
278,Barry Levinson
279,Jerry Zucker
280,Andy Tennant
281,Florent-Emilio Siri
282,Don Bluth
283,Ron Shelton
284,David Pastor
285,Henry Selick
286,Kyle Balda
287,Clay Kaytis
288,Judd Apatow
289,Steve Carr
290,Mel Gibson
291,David Silverman
292,Frank Darabont
293,Betty Thomas
294,Garry Marshall
295,Paul Tibbitt
296,Clark Johnson
297,Cameron Crowe
298,Randall Wallace
299,Jonathan Frakes
300,George Clooney
301,Gary Shore
302,Andrzej Bartkowiak
303,Måns Mårlind
304,Gregory Hoblit
305,Gary McKendry
306,Wych Kaosayananda
307,Mikael Salomon
308,Bobby Farrelly
309,Kerry Conran
310,Michael Caton-Jones
311,Mikael Håfström
312,Phil Alden Robinson
313,David Slade
314,Joseph Ruben
315,Seth MacFarlane
316,Alejandro Amenábar
317,Kinka Usher
318,Craig Gillespie
319,Rob Bowman
320,Doug Lefler
321,Scott Waugh
322,Lawrence Kasdan
323,Michael Lembeck
324,Tom Hooper
325,Nora Ephron
326,Angelina Jolie Pitt
327,Clint Eastwood
328,Larry Charles
329,Stanley Kubrick
330,Will Gluck
331,Glenn Ficarra
332,David S. Goyer
333,Taylor Hackford
334,Michael Lehmann
335,Stuart Beattie
336,Roman Polanski
337,Frank Miller
338,Baltasar Kormákur
339,Daniel Lee
340,Keenen Ivory Wayans
341,Rob Reiner
342,Marco Schnabel
343,Demian Lichtenstein
344,Josh Gordon
345,Tim Hill
346,David Frankel
347,Brenda Chapman
348,Marc Lawrence
349,Peter Billingsley
350,Wes Ball
351,Ryan Murphy
352,Robert Redford
353,Jay Russell
354,Kenny Ortega
355,David McNally
356,Brian Robbins
357,Brian Levant
358,Steven Zaillian
359,Chris Butler
360,Jon Avnet
361,Sam Fell
362,Kevin Donovan
363,Geoff Murphy
364,David O. Russell
365,Babak Najafi
366,Jean-Pierre Jeunet
367,Graham Annable
368,Griffin Dunne
369,John Pasquin
370,Ruben Fleischer
371,Harold Ramis
372,Kevin Macdonald
373,Donald Petrie
374,Jorge Blanco
375,Stuart Baird
376,Joel Coen
377,Robert Lorenz
378,Harold Becker
379,Scott Stewart
380,Patrick Gilmore
381,Tony Bill
382,Rod Lurie
383,Walter Hill
384,Akiva Goldsman
385,Harald Zwart
386,Walter Salles
387,Iain Softley
388,David Koepp
389,Uwe Boll
390,Pou-Soi Cheang
391,John Dahl
392,Tim Miller
393,Stephen Herek
394,Peter MacDonald
395,Anthony Hemingway
396,Sean Anders
397,Mark Neveldine
398,John Madden
399,Kevin Bray
400,Mike Gabriel
401,Sam Weisman
402,Jesse Dylan
403,Wayne Wang
404,Gabriele Muccino
405,Tom Dey
406,Jimmy Hayward
407,Alan Parker
408,John Frankenheimer
409,Paul King
410,Akiva Schaffer
411,William Friedkin
412,Kent Alterman
413,Peter Lord
414,Shekhar Kapur
415,Karyn Kusama
416,Ron Maxwell
417,Robert Butler
418,Karey Kirkpatrick
419,Steve Antin
420,Jim Gillespie
421,Francis Ford Coppola
422,Richard Lester
423,Scott Cooper
424,Robert Rodriguez
425,Curtis Hanson
426,Phyllida Lloyd
427,Jay Chandrasekhar
428,Terrence Malick
429,David Dobkin
430,Milos Forman
431,Pierre Morel
432,Paul Hunter
433,Steve Oedekerk
434,John Whitesell
435,George Nolfi
436,Neil Jordan
437,Rawson Marshall Thurber
438,Spike Lee
439,Brian Helgeland
440,Frank Marshall
441,Hideo Nakata
442,Peter Hewitt
443,Joe Roth
444,Bennett Miller
445,Jaume Collet-Serra
446,Andy Fickman
447,James McTeigue
448,Matthew O'Callaghan
449,Angela Robinson
450,Gary Fleder
451,Tommy Wirkola
452,Adrian Lyne
453,Stephen Gaghan
454,Jorge R. Gutiérrez
455,Richard Loncraine
456,Christophe Gans
457,Howard Deutch
458,Jon Hurwitz
459,Steven Quale
460,John Landis
461,Alexander Witt
462,Beeban Kidron
463,Carl Franklin
464,Steven Seagal
465,Danny Boyle
466,Andrew Bergman
467,Barbet Schroeder
468,Peter Webber
469,Andrew Niccol
470,John Carpenter
471,Wes Anderson
472,David Cronenberg
473,John Stockwell
474,David Gordon Green
475,Jim Sheridan
476,Costa-Gavras
477,Patrick Read Johnson
478,Richard LaGravenese
479,Danny DeVito
480,George Armitage
481,Patrick Lussier
482,James Wong
483,Richard Curtis
484,Chuck Bowman
485,Olivier Megaton
486,Deepa Mehta
487,Warren Beatty
488,Penny Marshall
489,Ted Kotcheff
490,Andrei Tarkovsky
491,Paul Bolger
492,Stephen Frears
493,P.J. Hogan
494,Brad Furman
495,Terence Young
496,David Zucker
497,Denis Villeneuve
498,Thomas Carter
499,Roger Michell
500,Luis Llosa
501,Melville Shavelson
502,Garth Jennings
503,Joel Zwick
504,Russell Mulcahy
505,David R. Ellis
506,Peter Howitt
507,John A. Davis
508,David Lynch
509,Julie Taymor
510,Mathieu Kassovitz
511,John Gray
512,John Schultz
513,Sean Penn
514,Susan Stroman
515,Simon Wincer
516,Billy Bob Thornton
517,Danny Pang
518,George P. Cosmatos
519,Oliver Parker
520,Lawrence Kasanoff
521,Ben Affleck
522,Brian Gibson
523,Norman Ferguson
524,Michael Cimino
525,Paul McGuigan
526,Gus Van Sant
527,Roger Kumble
528,Burr Steers
529,John Hamburg
530,Reginald Hudlin
531,Joseph L. Mankiewicz
532,Barbra Streisand
533,Mark Pellington
534,John Glen
535,Catherine Hardwicke
536,John Herzfeld
537,Annabel Jankel
538,Julie Anne Robinson
539,Evan Goldberg
540,Sngmoo Lee
541,Jamel Debbouze
542,Gordon Chan
543,Asger Leth
544,John G. Avildsen
545,Anne Fletcher
546,Bruce Beresford
547,Sam Taylor-Johnson
548,Ken Kwapis
549,Wes Craven
550,Etan Cohen
551,Nick Cassavetes
552,Nicholas Stoller
553,Mark A.Z. Dippé
554,Cal Brunker
555,Nimród Antal
556,Alejandro Agresti
557,Peter Hedges
558,Paul Weiland
559,Colin Strause
560,Joan Chen
561,Greg Mottola
562,Jake Kasdan
563,Diane Keaton
564,Kelly Makin
565,Stephen Daldry
566,Christian Duguay
567,Justin Chadwick
568,Pat O'Connor
569,Frederik Du Chau
570,Irwin Winkler
571,Joseph Kahn
572,Sofia Coppola
573,Stephen Kay
574,J.A. Bayona
575,Elaine May
576,Dennie Gordon
577,Charles Shyer
578,Ulu Grosbard
579,William Malone
580,Malcolm D. Lee
581,Jerry Jameson
582,Mic Rodgers
583,Christian Alvart
584,Jean-Marie Poiré
585,Marc F. Adler
586,Geoffrey Sax
587,Richard Shepard
588,Peter Ho-Sun Chan
589,Joon-ho Bong
590,Jeff Nathanson
591,S.S. Rajamouli
592,Charles S. Dutton
593,Jonathan Lynn
594,David Carson
595,Kar-Wai Wong
596,Yuefeng Song
597,Norman Jewison
598,David Mirkin
599,Luis Mandoki
600,Lee Daniels
601,Jeb Stuart
602,Steve Miner
603,Paul Thomas Anderson
604,David Leland
605,J Blakeson
606,Ryan Coogler
607,Kirk Jones
608,Ethan Coen
609,Jennifer Flackett
610,Kevin Smith
611,Christian Ditter
612,Charles Martin Smith
613,Fedor Bondarchuk
614,Irvin Kershner
615,Steve Pink
616,Scott Hicks
617,Chris Rock
618,Wilson Yip
619,Robert Wise
620,Kevin Rodney Sullivan
621,Kevin Munroe
622,Michael Tollin
623,Patrick Tatopoulos
624,Gary David Goldberg
625,Tobe Hooper
626,Alan Poul
627,Luke Greenfield
628,Gil Junger
629,Michael Ritchie
630,Steven E. de Souza
631,Alexandre Aja
632,Michael Rymer
633,Hugh Wilson
634,Mike Hodges
635,Scott Mann
636,Susanna White
637,Chris Carter
638,Tommy O'Haver
639,Peter Landesman
640,Gary Chapman
641,Craig Mazin
642,Allen Hughes
643,Kimble Rendall
644,Peter Yates
645,Lasse Hallström
646,Jean-Marc Vallée
647,Hark Tsui
648,Lexi Alexander
649,Ronny Yu
650,Bille August
651,Moustapha Akkad
652,Jean-Paul Rappeneau
653,Joachim Rønning
654,Tony Kaye
655,Ken Scott
656,Hugh Johnson
657,Hayao Miyazaki
658,George Tillman Jr.
659,Rand Ravich
660,Hugh Hudson
661,Jeremy Degruson
662,Chris Gorak
663,Scott Speer
664,Joe Charbanic
665,Jonathan Hensleigh
666,Danny Cannon
667,Boaz Yakin
668,Richard Marquand
669,Neil Marshall
670,David Wain
671,Jared Hess
672,Rupert Wainwright
673,John Luessenhop
674,Justin Zackham
675,John Gatins
676,Miguel Sapochnik
677,Hyung-rae Shim
678,Don Scardino
679,Tim Robbins
680,Tom Reeve
681,Nanette Burstein
682,Ariel Vromen
683,Lewis Gilbert
684,John Francis Daley
685,J.B. Rogers
686,Michael Sucsy
687,Tom Vaughan
688,Stephen Hillenburg
689,Stig Bergqvist
690,Jason Reitman
691,Alexander Payne
692,Jonathan Levine
693,Rian Johnson
694,Chris Noonan
695,Michael McCullers
696,Forest Whitaker
697,Woody Allen
698,Peter Lepeniotis
699,Ted Demme
700,William Shatner
701,Steve Box
702,James Gartner
703,Lee Toland Krieger
704,Tim McCanlies
705,Drew Goddard
706,Jason Friedberg
707,Paul Michael Glaser
708,John R. Leonetti
709,Tom Hanks
710,Kimberly Peirce
711,Liz Friedlander
712,Phil Joanou
713,Shane Acker
714,Martha Coolidge
715,Stephen J. Anderson
716,Troy Miller
717,Tate Taylor
718,Brett Leonard
719,Alister Grierson
720,Nick Hurran
721,Charles Stone III
722,Paul Haggis
723,Kurt Wimmer
724,Jean-François Richet
725,Kevin Hooks
726,Ellory Elkayem
727,Niki Caro
728,Vincenzo Natali
729,Willard Huyck
730,Gavin O'Connor
731,Bruce Hunt
732,Chris Roberts
733,Jee-woon Kim
734,Nick Hamm
735,Andy Cadiff
736,Mike Disa
737,Richard J. Lewis
738,Sergio Leone
739,Niels Arden Oplev
740,Michael Radford
741,Steve Boyum
742,Kaige Chen
743,Corey Yuen
744,Andrew Dominik
745,Li Zhang
746,Laurent Tirard
747,Reinhard Klooss
748,Frédéric Auburtin
749,Olivier Dahan
750,Maksim Fadeev
751,Liliana Cavani
752,Greg Tiernan
753,Elizabeth Banks
754,Edward Norton
755,Ben Falcone
756,Richard Attenborough
757,Don Mancini
758,John Maybury
759,Igor Kovalyov
760,Shinji Aramaki
761,Miguel Arteta
762,James Gray
763,Janusz Kaminski
764,Robert B. Weide
765,Jeff Wadlow
766,Agustín Díaz Yanes
767,Camille Delamarre
768,David Lean
769,Richard Eyre
770,Nicholas Meyer
771,Callie Khouri
772,Sanaa Hamri
773,Todd Graff
774,Philip Kaufman
775,Saul Dibb
776,Walter Murch
777,Richard Linklater
778,E. Elias Merhige
779,Menno Meyjes
780,Jodie Foster
781,Scott Frank
782,Kevin Allen
783,Michael Cristofer
784,Andrew Morahan
785,Bob Rafelson
786,Michael Cohn
787,Alan Shapiro
788,Fernando Meirelles
789,Michael Hoffman
790,Oleg Stepchenko
791,Michael Winterbottom
792,Michael Pressman
793,Sharon Maguire
794,Charles Herman-Wurmfeld
795,Gabor Csupo
796,Tyler Perry
797,Joe Carnahan
798,John Polson
799,Bernardo Bertolucci
800,Cathy Malkasian
801,John Eng
802,Chris Nahon
803,Fred Wolf
804,Bille Woodruff
805,Victor Salva
806,Mark Helfrich
807,Steve Bendelack
808,Dwight H. Little
809,Guillaume Canet
810,Kirsten Sheridan
811,Richard Fleischer
812,Bob Spiers
813,Damien Dante Wayans
814,John Wells
815,Tim Fywell
816,Nigel Cole
817,Dexter Fletcher
818,Jeremy Leven
819,Sylvain White
820,Troy Nixey
821,Philip G. Atwell
822,Jeff Schaffer
823,Don Michael Paul
824,James Bridges
825,Steve Barron
826,Bill Paxton
827,Richard Kelly
828,Carter Smith
829,John Schlesinger
830,Ringo Lam
831,Bruce McCulloch
832,Patricia Riggen
833,Pascal Chaumeil
834,Jonathan Kaplan
835,Ole Bornedal
836,Richard Benjamin
837,Craig R. Baxley
838,John Hillcoat
839,John Guillermin
840,Marcos Siega
841,Rachel Talalay
842,Jeffrey W. Byrd
843,Atom Egoyan
844,Robert Towne
845,Giuseppe Tornatore
846,Werner Herzog
847,Ben Stassen
848,Jérôme Deschamps
849,Inna Evlannikova
850,Jonathan English
851,Sergey Bondarchuk
852,Teddy Chan
853,Mario Van Peebles
854,Leonard Nimoy
855,Herbert Ross
856,Bonnie Hunt
857,Neil LaBute
858,Grant Heslov
859,George Gallo
860,Sidney Lumet
861,Douglas McGrath
862,Kevin Spacey
863,Richard Williams
864,Mary McGuckian
865,Tony Goldwyn
866,Jonathan Newman
867,Michael Dinner
868,Joseph Sargent
869,Jerry Zaks
870,Fred Durst
871,Anne Fontaine
872,Jon Cassar
873,Mira Nair
874,Mel Brooks
875,Russell Crowe
876,Jessie Nelson
877,Christopher Spencer
878,Mike Bigelow
879,Daniel Sackheim
880,Harry Elfont
881,Uli Edel
882,Fred Dekker
883,Brian Trenchard-Smith
884,Blake Edwards
885,Laurence Dunmore
886,Christian Carion
887,David Palmer
888,Rowan Joffe
889,John Curran
890,Juan José Campanella
891,Trey Parker
892,Stuart Gillard
893,Katt Shea
894,Joshua Michael Stern
895,Tomas Alfredson
896,John Duigan
897,Colin Higgins
898,Jim Sonzero
899,Penelope Spheeris
900,Jeff Tremaine
901,Jeannot Szwarc
902,Steve McQueen
903,Thea Sharrock
904,Jon Lucas
905,Aaron Seltzer
906,Robin Budd
907,Ava DuVernay
908,Steve Trenbirth
909,Mennan Yapo
910,Jun Falkenstein
911,Tom McCarthy
912,Takashi Shimizu
913,Gary Nelson
914,Anton Corbijn
915,Gregory Nava
916,John Patrick Shanley
917,Joshua Logan
918,Steve Beck
919,Todd Strauss-Schulson
920,John McNaughton
921,Nelson McCormick
922,Eric Valette
923,Andrew Fleming
924,Michael Spierig
925,Jim Field Smith
926,Thomas Bezucha
927,William Brent Bell
928,Anthony Bell
929,Jessica Bendinger
930,Henry Joost
931,Ed Harris
932,Alfred Hitchcock
933,Shana Feste
934,Steve Rash
935,Mike Binder
936,Michael J. Bassett
937,Frank Nissen
938,Stephen Chow
939,Peter Hastings
940,Paul Abascal
941,Chris Koch
942,Amy Heckerling
943,Michael Moore
944,George Stevens
945,Billy Ray
946,Mark Mylod
947,James Mather
948,Michael O. Sajbel
949,Charles T. Kanganis
950,Damon Santostefano
951,Bob Clark
952,Dave Borthwick
953,Benson Lee
954,Glen Morgan
955,Mike Leigh
956,Alejandro Monteverde
957,Jonathan Glazer
958,J.C. Chandor
959,Paul Gross
960,Marc Abraham
961,Todd Haynes
962,Mabrouk El Mechri
963,Charlie Kaufman
964,Nancy Walker
965,Angelo Pizzo
966,Matthew Diamond
967,Katsuhiro Ôtomo
968,David Anspaugh
969,Andrew Jarecki
970,Daniel Algrant
971,Jane Clark
972,Mike Barker
973,Wayne Thornley
974,Gnana Rajasekaran
975,Tom Walsh
976,Jonathan Jakubowicz
977,Scott Walker
978,Mark Rosman
979,Rob Hawk
980,Britt Allcroft
981,Alan Yuen
982,Brian Percival
983,Anand Tucker
984,Anthony Mann
985,Michael Dowse
986,Daniel Barnz
987,Emile Ardolino
988,Robert Altman
989,James Schamus
990,Andrew Douglas
991,Ricky Gervais
992,Vic Armstrong
993,Terry Zwigoff
994,Audrey Wells
995,Rick Friedberg
996,Sean McNamara
997,Jody Hill
998,Brandon Camp
999,Kevin Tancharoen
1000,Nicholas Hytner
1001,Bart Freundlich
1002,William A. Fraker
1003,John Boorman
1004,Courtney Solomon
1005,Jeff Kanew
1006,István Szabó
1007,Matthew Robbins
1008,Hal Needham
1009,Jeff Nichols
1010,Jonathan Teplitzky
1011,Michael Haneke
1012,Zack Ward
1013,Mike Marvin
1014,Gregor Jordan
1015,Tran Anh Hung
1016,Lance Hool
1017,Christian Volckman
1018,Rodrigo Cortés
1019,David Hayter
1020,Cory Edwards
1021,Terry George
1022,Xavier Gens
1023,Kasi Lemmons
1024,Brian A Miller
1025,Matt Dillon
1026,George Cukor
1027,John Hoffman
1028,Kevin Greutert
1029,John Fortenberry
1030,Erik White
1031,Chris Robinson
1032,Jason Moore
1033,Robert Harmon
1034,Trent Cooper
1035,Gary Halvorson
1036,Nicholas Ray
1037,Fede Alvarez
1038,Sidney J. Furie
1039,Ian Iqbal Rashid
1040,Wayne Kramer
1041,Rowdy Herrington
1042,Jim Goddard
1043,Noel Marshall
1044,Andrea Di Stefano
1045,Guillaume Ivernel
1046,Jack Smight
1047,Todd Lincoln
1048,Howard Zieff
1049,Steven Shainberg
1050,Julian Jarrold
1051,Joe Nussbaum
1052,Vadim Perelman
1053,Peter Farrelly
1054,Michel Hazanavicius
1055,Cyrus Nowrasteh
1056,Perry Andelin Blake
1057,Christian E. Christiansen
1058,Sheldon Lettich
1059,Diane English
1060,Peter Flinth
1061,Robert Iscove
1062,Peter Kosminsky
1063,Nick Gomez
1064,Allen Coulter
1065,Clare Kilner
1066,Josef Rusnak
1067,Lance Rivera
1068,Ronald Neame
1069,Bruce Paltrow
1070,Adam Rifkin
1071,Susanne Bier
1072,Kenneth Johnson
1073,James Ivory
1074,Jessy Terrero
1075,Dany Boon
1076,Vicente Amorim
1077,Gaspar Noé
1078,Jérôme Salle
1079,Tommy Lee Jones
1080,Jesse Vaughan
1081,William Bindley
1082,Wayne Beach
1083,Gérard Krawczyk
1084,Udayan Prasad
1085,JK Youn
1086,Morten Tyldum
1087,Andrés Muschietti
1088,Gillian Armstrong
1089,James Watkins
1090,Jim Fall
1091,Ric Roman Waugh
1092,Michael Dougherty
1093,Joel Gallen
1094,James Marsh
1095,Matt Williams
1096,Rob Zombie
1097,Dennis Iliadis
1098,Rick Rosenthal
1099,Denzel Washington
1100,Nicolas Winding Refn
1101,Sara Sugarman
1102,Juan Carlos Fresnadillo
1103,Gina Prince-Bythewood
1104,Phil Traill
1105,Joe Berlinger
1106,Elizabeth Allen Rosenbaum
1107,Michael Mayer
1108,Martin Weisz
1109,John Ottman
1110,John Bonito
1111,Peter Atencio
1112,David Nutter
1113,Derek Cianfrance
1114,Stephan Elliott
1115,Mark L. Lester
1116,Tom Green
1117,Mike Nawrocki
1118,Catherine Owens
1119,Douglas Aarniokoski
1120,Bryan Barber
1121,Lone Scherfig
1122,Drew Barrymore
1123,Brian Koppelman
1124,James Foley
1125,Albert Brooks
1126,Steve Gomer
1127,RZA
1128,Mark Piznarski
1129,Craig Brewer
1130,David Raynr
1131,Mort Nathan
1132,Dan Curtis
1133,Wil Shriner
1134,Martin McDonagh
1135,Tina Gordon Chism
1136,Peter Cattaneo
1137,Vicky Jenson
1138,Mary Lambert
1139,Peter Kassovitz
1140,Rodman Flender
1141,Katja von Garnier
1142,Mark Romanek
1143,Brad Anderson
1144,Michael Chapman
1145,Antonio Banderas
1146,Khalil Sullins
1147,Fritz Lang
1148,Hsiao-Hsien Hou
1149,Andrey Zvyagintsev
1150,Tony Jaa
1151,Ryûhei Kitamura
1152,Darrell Roodt
1153,Dito Montiel
1154,Stefan Ruzowitzky
1155,Jake Paltrow
1156,Juraj Jakubisko
1157,Anthony Silverston
1158,Gabe Ibáñez
1159,Gerry Lively
1160,Daniele Luchetti
1161,Tung-Shing Yee
1162,Julien Temple
1163,Gregory Jacobs
1164,Gilles Paquet-Brenner
1165,Peter Cousens
1166,Lars von Trier
1167,John Blanchard
1168,John Cornell
1169,Vidhu Vinod Chopra
1170,Jamie Blanks
1171,Randal Kleiser
1172,Rick Famuyiwa
1173,Alan Cohn
1174,Franco Zeffirelli
1175,Tom Holland
1176,James Isaac
1177,Emilio Estevez
1178,Josh Schwartz
1179,Julian Schnabel
1180,Todd Field
1181,Davis Guggenheim
1182,Stephen Carpenter
1183,James Fargo
1184,Alain Resnais
1185,Chao-Bin Su
1186,Kenneth Lonergan
1187,Bo Zenga
1188,Danny Leiner
1189,Christopher Cain
1190,Theodore Melfi
1191,Ed Decter
1192,Gene Quintano
1193,Eric Bress
1194,Preston A. Whitmore II
1195,Kirk Wong
1196,Bronwen Hughes
1197,John Lafia
1198,Sam Miller
1199,Alex Garland
1200,Mark Brown
1201,Michael Polish
1202,Daisy von Scherler Mayer
1203,Lenny Abrahamson
1204,Bob Saget
1205,John Waters
1206,Craig Bolotin
1207,Mark Christopher
1208,Blair Hayes
1209,Jez Butterworth
1210,Olivier Assayas
1211,Patrice Leconte
1212,Paul Mazursky
1213,Stephen Chbosky
1214,Jon Hess
1215,Joe Cornish
1216,John H. Lee
1217,John Stainton
1218,Benedek Fliegauf
1219,Paul Schrader
1220,Stewart Hendler
1221,John Cromwell
1222,Mark Herman
1223,Abel Ferrara
1224,Ethan Maniquis
1225,George Hickenlooper
1226,Je-kyu Kang
1227,William Dear
1228,Stéphane Aubier
1229,John Badham
1230,Mike McCoy
1231,Mike Judge
1232,Tamra Davis
1233,Nima Nourizadeh
1234,Franklin J. Schaffner
1235,John Erick Dowdle
1236,David Moreau
1237,Christopher Erskin
1238,Brian Henson
1239,Dan Cutforth
1240,Josh Boone
1241,Jake Schreier
1242,Cheryl Dunye
1243,Ernest R. Dickerson
1244,Lionel C. Martin
1245,Wallace Wolodarsky
1246,Nicholas Jarecki
1247,Dean Israelite
1248,Darnell Martin
1249,Scott Alexander
1250,Stuart Gordon
1251,Christopher Guest
1252,Jane Campion
1253,Fred Schepisi
1254,Antonia Bird
1255,Jon Poll
1256,Paolo Sorrentino
1257,Peter Care
1258,Chan-wook Park
1259,Ira Sachs
1260,Carroll Ballard
1261,Takeshi Kitano
1262,Marco Kreuzpaintner
1263,Lajos Koltai
1264,Alan Rudolph
1265,Chuan Lu
1266,Lijun Sun
1267,Takashi Yamazaki
1268,Christopher Smith
1269,Timothy Hines
1270,David Winters
1271,Akira Kurosawa
1272,Jamie Thraves
1273,Mabel Cheung
1274,Dan Mazer
1275,R.J. Cutler
1276,David S. Ward
1277,Rob Pritts
1278,John Crowley
1279,Brendan Malloy
1280,Dustin Hoffman
1281,Gregory Poirier
1282,Simon Curtis
1283,Dewey Nicks
1284,Philip Saville
1285,Tim Blake Nelson
1286,William A. Graham
1287,Martin Ritt
1288,John Turturro
1289,Agnieszka Holland
1290,David Hackl
1291,Giuliano Montaldo
1292,Lisa Azuelos
1293,Ray Lawrence
1294,Karan Johar
